#separator:Comma
#html:false
#Text,Hint,Rule,Tags
"She {{c1::has been working}} here since 2019 — and she still loves it.","work","since + past starting point → present perfect; continuous for ongoing activity","en-c1::m01"
"By the time the recruiter called back, I {{c1::had accepted}} another offer.","accept","by the time + past → the earlier event takes the past perfect","en-c1::m01"
"When the assistant finally arrived, Marta {{c1::had been running}} the office alone for a year.","run","duration up to a past moment → past perfect continuous","en-c1::m01"
"As a trainee, he {{c1::used to know}} nothing about tax law.","know — not would","states take used to, never would","en-c1::m01"
"Every Friday she {{c1::would stay}} late to plan the week ahead.","stay","would + infinitive → repeated past actions with a nostalgic colouring","en-c1::m01"
"This time next week I {{c1::will be presenting}} to the board.","present","future continuous → activity in progress at a future moment","en-c1::m01"
"By May she {{c1::will have been leading}} the team for a decade.","lead","future perfect continuous → duration measured at a future point","en-c1::m01"
"The CEO {{c1::is to step}} down at June's annual meeting.","step","be to + infinitive → official arrangements, the press-release future","en-c1::m01"
"I {{c1::was about to leave}} when the phone rang.","leave","be about to in the past → imminent action interrupted","en-c1::m01"
"He {{c1::was to have taken}} over in May, but the merger collapsed.","take over","was to have done → a plan that never happened; the perfect marks non-fulfilment","en-c1::m01"
