#separator:Comma
#html:false
#Term,Definition,UseCase1,UseCase2,Collocations,Register,Tags
"career trajectory","the direction a working life takes over time, pictured as a curve that rises, flattens or falls","One viral product launch changed her whole career trajectory.","His trajectory flattened the moment he refused the Singapore transfer.","a steep / flat trajectory · change / alter your trajectory","Business and journalistic; everyday alternative: career path","en-c1::m01"
"climb the corporate ladder","to advance step by step through the ranks of a large organisation","He spent a decade climbing the corporate ladder before wondering who was holding it.","She has no interest in climbing the ladder — she wants the work itself.","rise through the ranks · work your way up","Neutral alternatives: advance, be promoted","en-c1::m01"
"carve out a niche","to build a small, secure position that suits your particular strengths","She carved out a niche translating patents for biotech firms.","It took him years to carve out a niche in such a crowded market.","carve out a role / a reputation / a career","Neutral to journalistic","en-c1::m01"
"a stepping stone","a job or experience valued mainly as a stage on the way to something better","He saw the analyst role as a stepping stone to fund management.","Treat the internship as a stepping stone, not a destination.","a stepping stone to / towards sth","Neutral","en-c1::m01"
"a sideways move","a change to a different job at the same level, rather than a promotion","The transfer to Vienna was a sideways move, but it opened new doors.","Two sideways moves in a row make recruiters ask questions.","make a sideways move · a lateral move","HR-neutral; contrast: a step up · a demotion","en-c1::m01"
"rise through the ranks","to be promoted repeatedly within one organisation, often from a junior start","She rose through the ranks from cashier to regional director.","Managers who have risen through the ranks command a different kind of respect.","rise rapidly / steadily through the ranks","Neutral, slightly formal","en-c1::m01"
"a dead-end job","a job that offers no prospect of promotion or development","He quit a dead-end job in logistics to retrain as a nurse.","Any job turns dead-end the day you stop learning in it.","be stuck in / trapped in a dead-end job","Informal-neutral; formal: a position without prospects","en-c1::m01"
"take stock (of)","to pause and assess a situation carefully before deciding what to do next","Every January she takes stock of which skills still earn their keep.","After the layoffs, he took stock and decided to go freelance.","take stock of your career / options / finances","Neutral","en-c1::m01"
"pivot","to change professional direction strategically while keeping what already works","The studio pivoted from print to motion design within a year.","Mid-career professionals often pivot into teaching or consultancy.","pivot from X to Y · pivot into a field","Business / startup register; neutral: change direction","en-c1::m01"
"a career break","a planned period away from work, often for family, travel or retraining","She took a two-year career break to look after her father.","A career break used to be a red flag on a CV; it no longer is.","take a career break","HR-neutral; informal: take time out","en-c1::m01"
"up-and-coming","beginning to be successful and likely to become well known","The prize showcases up-and-coming talent in the industry.","They hired an up-and-coming architect with a gift for restoration work.","an up-and-coming designer / firm / district","Journalistic-neutral","en-c1::m01"
"the glass ceiling","the invisible barrier that keeps certain groups, especially women, out of top positions","She shattered the glass ceiling to become the bank's first female CEO.","The report argues the glass ceiling has merely been raised, not removed.","break / shatter / hit the glass ceiling","Journalistic; a fixed metaphor","en-c1::m01"
"be made redundant","to lose your job because the position itself is no longer needed","Half the department was made redundant after the merger.","Being made redundant at fifty pushed him into consultancy.","make a post redundant · voluntary redundancy","BrE; AmE: be laid off. Not the same as be dismissed (for fault)","en-c1::m01"
"notice period","the time you must go on working between resigning and actually leaving","Her three-month notice period kept her off the market until June.","He negotiated a shorter notice period before signing the contract.","work out / serve your notice period","Neutral, contractual","en-c1::m01"
"hand in your notice","to formally tell your employer you are leaving","She handed in her notice the day her visa cleared.","He had been threatening to hand it in for a year before he finally did.","give in / work your notice · notice period","Formal: resign · Informal: quit","en-c1::m01"
"step down","to leave a senior position voluntarily, especially so that someone can replace you","The chairman stepped down after twelve years at the helm.","She stepped down as head of research to return to the lab.","step down as chair · step down from a post","Press-release register; blunter: resign","en-c1::m01"
"fill in for sb","to do someone's job temporarily while they are away","Could you fill in for me at Thursday's client call?","She filled in for the director for six months — and impressed the board.","fill in for a colleague · a stand-in","Neutral; formal: deputise for sb · also: cover for sb","en-c1::m01"
"headhunt","to approach someone who already has a job and persuade them to join another company","She was headhunted by a rival bank while on holiday.","We headhunted him specifically to rebuild the sales team.","be headhunted for a role · a headhunter","Neutral business","en-c1::m01"
"a probationary period","the trial months in a new job during which either side can end the contract easily","New hires pass a six-month probationary period before going permanent.","His contract was not renewed at the end of the probationary period.","complete / pass / extend a probationary period","Formal-contractual; informal: be on probation","en-c1::m01"
"lay off","to dismiss workers because there is not enough work, usually in large numbers","The plant laid off four hundred workers in a single afternoon.","Tech firms have been laying off staff all year.","mass layoffs · be laid off","AmE-leaning; BrE prefers make redundant","en-c1::m01"
"severance pay","money paid to an employee whose contract is ended by the employer","Six months' severance pay softened the blow of redundancy.","Read the severance terms before you resign, not after.","a severance package / agreement","Formal-contractual; informal: a payoff","en-c1::m01"
"shortlist","to select the few strongest candidates for final consideration","Two hundred people applied; nine were shortlisted.","Her portfolio got her shortlisted for the design prize.","be shortlisted for a post · draw up a shortlist","Neutral","en-c1::m01"
"staff turnover","the rate at which employees leave an organisation and are replaced","High staff turnover in a team usually points at its manager.","Turnover fell sharply once flexible hours came in.","high / low / rapid staff turnover","Neutral business","en-c1::m01"
"be overqualified","to have more experience or education than a job requires — and so be unlikely to stay","They rejected her as overqualified for the coordinator role.","Hire someone overqualified and they will have moved on within a year.","be overqualified for a post","Neutral","en-c1::m01"
"a vacancy","a job that is available for someone to take","The vacancy attracted over three hundred applications.","Ask why the vacancy exists — the answer is often the real job description.","fill / advertise a vacancy","Job-ad synonyms: an opening, a position","en-c1::m01"
"poach","to lure an employee away from another company, often a direct rival","Their entire data team was poached by a hedge fund.","We lost two engineers to poaching last quarter.","poach staff / talent / clients from a rival","Informal-business; neutral: recruit from","en-c1::m01"
"take on a workload","to accept an amount of work, especially a large one","She took on a workload designed for two people.","Don't take on more than the role actually pays for.","take on work / staff / responsibility · a heavy workload","Neutral","en-c1::m01"
"meet a deadline","to finish a piece of work by the agreed time","We met the deadline with forty minutes to spare.","He has never missed a deadline in ten years; his secret is padding every estimate.","meet / miss / extend / set a deadline · a tight deadline","Neutral","en-c1::m01"
"be snowed under","to have far more work than you can deal with","I'm completely snowed under this week — can it wait until Monday?","The support team has been snowed under since the update shipped.","snowed under with work / emails / requests","Informal-neutral; formal: be overwhelmed","en-c1::m01"
"knuckle down","to finally start working seriously and with full attention","It's time to knuckle down and finish the application.","Once she knuckled down, the thesis took only three months.","knuckle down to work / to revision","Informal; neutral: apply yourself, get down to work","en-c1::m01"
"demanding yet rewarding","(of work) requiring great effort but giving deep satisfaction — the classic job-ad pairing","Teaching is demanding yet rewarding in roughly equal measure.","It was a demanding yet rewarding role — until it was merely demanding.","a demanding role / schedule · deeply rewarding","Job-ad and interview register","en-c1::m01"
"work around the clock","to work continuously, day and night","The legal team worked around the clock to close the deal.","You cannot run a company by working around the clock yourself.","work around the clock to do sth · round-the-clock support","Neutral","en-c1::m01"
"pull your weight","to do your fair share of the shared work","Everyone here pulls their weight — there is nowhere to hide.","He was let go for simply not pulling his weight.","pull your weight in a team","Informal-neutral","en-c1::m01"
"delegate","to give parts of your work, and the authority for them, to other people","Learn to delegate, or your team will never grow.","She delegates the routine and keeps the judgement calls.","delegate tasks / authority / responsibility to sb","Neutral business","en-c1::m01"
"juggle competing demands","to try to manage several conflicting duties at the same time","Working parents juggle competing demands every single day.","He was juggling three clients' demands from two screens.","juggle work and family · juggle priorities","Neutral-journalistic","en-c1::m01"
"put in long hours","to spend a great deal of time working","She put in brutal hours all through the audit season.","Partners are expected to put in whatever hours the deal requires.","put in long hours / a full shift / overtime","Neutral","en-c1::m01"
"keep on top of","to stay in control of work that keeps arriving, so that it never piles up","A daily fifteen-minute sweep keeps me on top of my inbox.","Once you stop keeping on top of the paperwork, it buries you.","keep on top of your workload / admin / emails","Informal-neutral","en-c1::m01"
"a looming deadline","a deadline that is approaching fast and beginning to cause worry","The looming deadline concentrated everyone's minds wonderfully.","With the deadline looming, they quietly cut half the features.","a deadline looms · with sth looming","Journalistic-neutral","en-c1::m01"
"burnout","physical and emotional collapse caused by prolonged overwork","Burnout is rife among freelancers juggling four clients.","She recognised the burnout only after her doctor named it.","suffer / experience burnout · be heading for burnout","Neutral, with a clinical flavour","en-c1::m01"
"burn the candle at both ends","to exhaust yourself by working late and getting up early, day after day","He was burning the candle at both ends — night classes after ten-hour shifts.","Burn the candle at both ends in your twenties and the invoice arrives in your thirties.","(fixed idiom — used whole)","Informal","en-c1::m01"
"run yourself into the ground","to work until your health or judgement gives way","She ran herself into the ground getting the launch out on time.","Don't run yourself into the ground for a company that would replace you within a week.","run sb / yourself into the ground","Informal","en-c1::m01"
"work-life balance","the healthy division of time and energy between work and the rest of life","Work-life balance is easier to print on a mug than to practise.","The four-day pilot measurably improved staff's work-life balance.","strike / maintain / improve a work-life balance","HR and journalistic","en-c1::m01"
"take its toll (on)","to cause gradual, cumulative damage","The commute was quietly taking its toll on her health.","Years of shift work take their toll eventually.","take its toll on health / morale / relationships","Neutral","en-c1::m01"
"be stretched too thin","to have your time and energy divided among so many duties that none is done well","With two vacancies unfilled, the team is stretched dangerously thin.","She was stretched so thin that even small requests felt heavy.","be stretched thin / to the limit","Neutral","en-c1::m01"
"switch off","to stop thinking about work and let your mind rest","Remote workers find it far harder to switch off at the end of the day.","He cannot switch off unless the phone stays in another room.","switch off from work · fully switch off","Informal-neutral; formal: disconnect","en-c1::m01"
